,Unnamed: 0,singkatan,kata asal
1068,,sdah,sudah 
1069,,sdg,sedang 
1070,,sdgkn,sedangkan 
1071,,sdh,sudah 
1073,,sdng,sedang 
1074,,sdngkn,sedangkan 
1075,,sebel,kesal 
1076,,sebenernya,sebenarnya 
1077,,sekola,sekolah 
1078,,selaw,santai
1079,,selow,sebentar 
1081,,semalem,semalam 
1082,,sembuhin,sembuhkan 
1083,,senen,senin 
1084,,seneng,senang 
1085,,serem,seram 
1086,,sesek,sesak
1087,,seterah,terserah 
1088,,sgala,segala 
1089,,sgini,segini 
1090,,sgitu,segitu 
1091,,sgt,sangat 
1092,,shap,siap
1093,,shaps,siap
1094,,shbt,sahabat 
1095,,shiet,tahi 
1096,,shit,tahi 
1097,,sihat,sehat 
1098,,sja,saja 
1099,,skali,sekali 
1100,,skalian,sekalian 
1101,,skit,sakit 
1102,,sklh,sekolah 
1103,,skola,sekolah 
1104,,skolah,sekolah 
1105,,skr,sekarang 
1106,,skrang,sekarang 
1107,,skrg,sekarang 
1108,,skrng,sekarang 
1109,,skt,sakit 
1110,,slah,salah 
1111,,slalu,selalu 
1112,,slamat,selamat 
1113,,slesai,selesai 
1114,,slg,saling 
1115,,slh,salah 
1116,,slhkn,salahkan 
1117,,sllu,selalu 
1118,,slm,salam 
1119,,slmt,selamat 
1120,,sls,selesai 
1121,,sm,sama 
1122,,smangat,semangat 
1123,,smbg,sambung 
1124,,smbh,sembuh 
1125,,smbhyg,sembahyang 
1126,,smbil,sambil 
1127,,smbl,sambil 
1128,,smbng,sambung 
1129,,smbrg,sembarang 
1130,,smbuh,sembuh 
1131,,smcm,semacam 
1132,,smg,semoga 
1133,,smga,semoga 
1134,,smgt,semangat 
1135,,smlm,semalam 
1136,,smlmn,semalaman 
1137,,smngt,semangat 
1138,,smntr,sementara 
1139,,smoga,semoga 
1140,,smpai,sampai 
1141,,smpe,sampai 
1142,,smpt,sempat 
1143,,smua,semua 
1144,,smuanya,semuanya 
1145,,sndiri,sendiri 
1146,,sndri,sendiri 
1147,,sngt,sangat 
1148,,sni,sini 
1149,,snyum,senyum 
1150,,soale,soalnya 
1151,,sodara,saudara 
1152,,sopo,siapa 
1153,,sorang,seorang 
1154,,sory,maaf 
1155,,sperti,seperti 
1156,,spnjng,sepanjang 
1157,,sprt,seperti 
1158,,sprtny,sepertinya 
1159,,spt,seperti 
1160,,sptny,sepertinya 
1161,,spy,supaya 
1162,,srg,sering 
1163,,sseorg,seseorang 
1164,,stelah,setelah 
1165,,stgh,setengah 
1166,,stiap,setiap 
1167,,stlh,setelah 
1168,,stngh,setengah 
1169,,sudh,sudah 
1170,,sy,saya 
1171,,sya,saya 
1172,,syantik,cantik
1173,,syg,sayang 
1174,,sygku,sayangku 
1175,,sygny,sayangnya 
1176,,syipp,sip
1177,,syng,sayang 
1178,,syp,siapa
1179,,tai,tahi 
1180,,tau,tahu 
